student_id,standard,subject,parent_involvement,term_marks,study_time,quiz_accuracy,assignment_score,attendance_rate,total_attendance_days,video_completion,practice_attempts,session_consistency,pause_frequency,rewind_frequency,extracurricular_hours,discipline_incidents,engagement_score,risk_level
1001,11th,English,Medium,94,129,0.828314264507213,86,0.7455437709596665,164,0.24374655701838768,3,4,9,6,13,2,0.3094986228073551,MEDIUM
1002,12th,History,Low,76,126,0.5965342773357115,68,0.461487286414057,101,0.3311226793407273,14,7,1,5,17,0,0.48711573840295763,MEDIUM
1003,9th,Computer Science,High,63,118,0.38507378378519075,44,0.5821062999523439,128,0.5536691247752964,13,7,10,0,0,1,0.5521343165767852,MEDIUM
1004,11th,English,Low,53,261,0.21371041182538003,35,0.9098278167940022,200,0.11767437758770649,6,3,9,2,1,0,0.47506975103508264,HIGH
1005,11th,Mathematics,Low,70,243,0.5356412883643413,32,0.3204382654136365,70,0.4817130292894364,13,6,3,3,13,1,0.690018545049108,MEDIUM
1006,12th,History,Low,88,102,0.572735212046145,71,0.672931490850432,148,0.7102552632883661,1,2,2,6,5,0,0.4334354386486798,MEDIUM
1007,9th,Computer Science,Low,29,36,0.7317536508824548,55,0.9109588085293148,200,0.5659791267572909,12,6,6,2,14,3,0.4343916507029164,MEDIUM
1008,9th,Mathematics,High,31,141,0.9729434894023823,91,0.3854069116955323,84,0.6382895869679489,1,1,9,3,3,3,0.45664916812051287,MEDIUM
1009,11th,Mathematics,High,60,36,0.49145097736663723,63,0.9877823413657854,217,0.39395630531048487,8,3,7,6,8,1,0.31224918879086067,MEDIUM
1010,10th,Mathematics,Medium,22,7,0.46543078593493237,66,0.30867402478681844,67,0.2647681516177802,10,3,7,3,14,1,0.24857392731377875,HIGH
1011,11th,Mathematics,Low,84,230,0.43293700413111025,99,0.920284008024215,202,0.828767161319663,0,5,3,8,4,2,0.6381735311945319,MEDIUM
1012,11th,English,Low,59,295,0.8442315180701749,95,0.5475708020764768,120,0.9150713842927244,15,2,9,5,5,1,0.959361887050423,LOW
1013,11th,English,Medium,84,106,0.2406854992593141,39,0.3928834071744339,86,0.5596665133374042,11,4,1,1,10,1,0.5118666053349616,MEDIUM
1014,11th,English,Low,96,17,0.4094316132715805,37,0.41015072267817454,90,0.37453709132325175,11,3,5,0,12,2,0.31914816986263406,HIGH
1015,12th,Computer Science,Medium,98,82,0.7524737243878518,73,0.7908251028479896,173,0.560084346566187,2,5,2,7,11,1,0.3600337386264748,MEDIUM
1016,9th,Computer Science,High,90,287,0.11412544180820183,31,0.9095037736591609,200,0.891086968573656,9,2,7,2,6,0,0.8591014540961291,MEDIUM
1017,12th,Computer Science,Medium,49,193,0.3604426512451252,44,0.7487464476647514,164,0.7222657126376056,3,1,2,6,19,3,0.5862396183883757,HIGH
1018,12th,Science,Low,91,214,0.6773024464792389,79,0.9501074799525271,209,0.8727544776611057,4,4,1,3,11,2,0.6877684577311091,MEDIUM
1019,12th,Computer Science,Medium,86,280,0.26735688820072423,94,0.8897351565398293,195,0.3955414807702453,14,2,8,2,9,2,0.7182165923080982,MEDIUM
1020,11th,English,High,98,219,0.3724395122118441,53,0.30632226485845526,67,0.7407812155037463,2,5,8,8,2,1,0.6149791528681652,MEDIUM
1021,10th,English,Low,62,288,0.5374405670349063,32,0.7686007651010942,169,0.6877440743604549,8,6,8,5,1,3,0.7657642964108486,MEDIUM
1022,9th,Science,High,72,193,0.47982120937271844,57,0.5132442821000047,112,0.6144548145853755,4,5,2,5,19,2,0.5564485925008169,MEDIUM
1023,10th,Science,High,97,157,0.19542447095984097,31,0.618150008204287,135,0.5754023787074579,6,5,1,5,0,0,0.5194942848163165,MEDIUM
